imatinib	csf-1r	[nsubj, has, dobj, activity, prep_against]	1.0
sirolimus	abca1	[prep_of, effect, appos]	1.0
sirolimus	abca1	[nsubj, increased, dobj, expression, nn]	1.0
telmisartan	mdr1	[prep_of, pharmacokinetics, prep_on, polymorphism, nn]	1.0
fk506	ifn-gamma	[nsubj, inhibited, dobj, production, amod]	1.0
phenylephrine	nfat2	[dep, activation, prep_of]	1.0
simvastatin	mucin	[nsubj, inhibited, dobj, synthesis, nn]	1.0
aliskiren	oatp1a2	[prep_via, inhibition, prep_of]	1.0
trifluoperazine	snap-25	[nsubj, decreased, advcl, increased, dobj]	1.0
lisinopril	mcp-1	[nsubj, inhibited, dobj, upregulation, nn]	1.0
clofibrate	bcaa	[xsubj, stimulate, dobj, oxidation, nn]	1.0
estradiol	cd44	[agent, increased, nsubjpass, expression, nn]	1.0
estradiol	cd44	[nsubj, increase, dobj, expression, amod]	1.0
vasopressin	tachykinin	[dep, histamine, dep]	1.0
pravastatin	osteoprotegerin	[prep_with, increased, nsubjpass, levels, nn]	1.0
estradiol	factor-1	[nsubj, interacts, prep_with]	1.0
carboplatin	brca2	[prep_with, treated, partmod, tissue, prep_from, developed, nsubjpass, model, amod]	1.0
rolipram	ifn-gamma	[nsubj, reduced, dobj, production, amod]	1.0
carboplatin	brca1	[agent, inhibited, nsubjpass, activity, nn]	1.0
bevacizumab	pres	[amod, treatment, prep_following]	1.0
fexofenadine	p-gp	[nsubjpass, used, prep_as, substrates, nn]	1.0
fexofenadine	p-gp	[nsubj, probe, nn]	1.0
fexofenadine	p-gp	[amod, ratio, nn]	1.0
fexofenadine	p-gp	[prep_as, substrate, nn]	1.0
fexofenadine	p-gp	[dobj, using, prep_as, substrate, nn]	1.0
fexofenadine	p-gp	[prep_of, coadministration, appos, inhibitor, nn]	1.0
forskolin	furin	[agent, induced, nsubjpass, mrna, nn]	1.0
dexamethasone	beta-endorphin	[nsubj, suppressed, dobj, levels, amod]	1.0
dexamethasone	beta-endorphin	[dep, hormone, nn]	1.0
chlordiazepoxide	pgls	[nsubj, reduced, dobj]	1.0
cefixime	prsp	[nsubj, inactive, prep_against]	1.0
mibefradil	cyp3a	[appos, inhibitor, nn]	1.0
corticosteroids	abpa	[nsubj, prevent, dobj, development, prep_of]	1.0
corticosteroids	abpa	[nsubj, therapy, prep_for]	1.0
corticosteroids	abpa	[nsubj, treatment, prep_for]	1.0
corticosteroids	abpa	[nsubj, treatment, appos]	1.0
corticosteroids	abpa	[prep_with, treated, nsubjpass]	1.0
naproxen	oct2	[appos, substrate, nn]	1.0
aldosterone	pga1	[amod, production, dobj, regulates, nsubj]	1.0
isoproterenol	ifn-gamma	[prep_in, presence, prep_of]	1.0
isoniazid	cyp2e1	[prep_in, role, prep_of]	1.0
isoniazid	cyp2e1	[agent, induced, nsubjpass]	1.0
isoniazid	cyp2e1	[appos, inhibitor, nn]	1.0
isoniazid	cyp2e1	[prep_by, induction, amod]	1.0
isoniazid	cyp2e1	[nsubj, increased, dobj, protein, amod]	1.0
isoniazid	cyp2e1	[appos, inducer, prep_of]	1.0
isoniazid	cyp2e1	[appos, inducer, amod]	1.0
isoniazid	cyp2e1	[nsubj, inducer, prep_of]	1.0
glcnac	alg7	[amod, phosphotransferase, amod]	1.0
atra	egfr	[prep_with, treatments, prep_to, resistant, nsubj, cells, rcmod, activated, nsubjpass, receptor, appos]	1.0
decitabine	cd11b	[xsubj, induce, dobj]	1.0
indomethacin	l-selectin	[prep_of, effects, dobj, examined, prep_on, expression, prep_of]	1.0
minocycline	ikappabalpha	[nsubj, attenuated, dobj, degradation, prep_of]	1.0
minocycline	ikappabalpha	[agent, blocked, nsubjpass, expression, nn]	1.0
vasopressin	slc26a7	[nsubj, increases, dobj, expression, prep_of, protein, amod]	1.0
aldosterone	adiponectin	[amod, treatment, nsubj, inhibited, dobj, expression, nn]	1.0
aldosterone	adiponectin	[prep_on, production, nn]	1.0
aldosterone	adiponectin	[prep_on, expression, nn]	1.0
valdecoxib	cox2	[appos, inhibitor, nn]	1.0
valdecoxib	cox2	[amod, inhibitors, num]	1.0
beta-estradiol	brca1	[prep_with, induced, nsubjpass, expression, amod]	1.0
paclitaxel	tgfbi	[xcomp, enhances, nsubj]	1.0
rapamycin	cd25	[prep_to, cultures, prepc_of, expanding, dobj, t, nn]	1.0
rapamycin	cd25	[prep_of, effect, dobj, study, prep_on]	1.0
rapamycin	cd25	[nsubj, allows, prep_in, expansion, prep_of, tregs, nn]	1.0
rapamycin	cd25	[prep_of, effect, dobj, investigated, prep_on, levels, prep_of]	1.0
rapamycin	cd25	[nsubj, induces, dobj]	1.0
rapamycin	cd25	[prep_of, presence, prep_in, cells, dep]	1.0
hydroquinone	rad18	[prep_of, effects, dobj, investigate, prep_on, expression, prep_of]	1.0
rapamycin	cd28	[nsubj, block, advcl]	1.0
menadione	kip1	[agent, increased, nsubjpass]	1.0
atra	glut4	[nsubj, restored, dobj, expression, amod]	1.0
forskolin	rap1	[prep_by, inhibited, dobj, activation, prep_of]	1.0
rapamycin	pcld	[prep_in, management, prep_of]	1.0
irinotecan	ki-67	[prep_on, patients, prep_in]	1.0
pancuronium	ml-1	[prep_of, concentration, appos]	1.0
pancuronium	ml-1	[prep_of, concentration, nsubj]	1.0
varenicline	p-gp	[nsubj, substrate, nn]	1.0
troglitazone	interleukin-11	[prep_by, blocked, nsubj]	1.0
curcumin	ecto-atpase	[nsubj, inhibitor, prep_of]	1.0
tariquidar	p-gp	[appos, modulator, nn]	1.0
tariquidar	p-gp	[prep_like, inhibitors, nn]	1.0
tariquidar	p-gp	[appos, inhibitor, appos]	1.0
tariquidar	p-gp	[appos, inhibitor, prep_of]	1.0
tariquidar	p-gp	[nsubj, inhibitor, prep_of]	1.0
tariquidar	p-gp	[prep_such_as, inhibitors, nn]	1.0
hydroxyurea	cdc42	[prep_for, required, nsubjpass]	1.0
primaquine	nadph	[nsubj, interacted, prep_with]	1.0
primaquine	nadph	[amod, results, prep_with]	1.0
primaquine	nadph	[nsubj, lowered, dobj]	1.0
genistein	m-calpain	[nsubj, induced, prep_including]	1.0
isoproterenol	vap-1	[nsubj, modify, advcl, produced, prep_on, content, nn]	1.0
felodipine	cyp3a	[appos, probe, amod]	1.0
methylprednisolone	phospholipase	[prep_with, inhibition, amod]	1.0
methylprednisolone	phospholipase	[dep, inhibitor, amod]	1.0
methylprednisolone	phospholipase	[appos, inhibition, amod]	1.0
fenamates	oatp1c1	[dobj, transports, nsubj]	1.0
genistein	osteoprotegerin	[nn, group, prep_in, higher, nsubj]	1.0
genistein	osteoprotegerin	[agent, induced, nsubjpass, expression, prep_of]	1.0
pentoxifylline	nf-kappab	[nsubj, inhibited, dobj, activation, prep_of]	1.0
pentoxifylline	nf-kappab	[appos, inhibitor, prep_of, activation, amod]	1.0
curcumin	gstp1-1	[agent, inhibited, nsubjpass, activity, nn]	1.0
curcumin	u-par	[prep_by, activity, prep_of, downregulation, nsubj, caused, prep_through, repression, prep_of, expression, prep_of, mrnas, prep_for, activator, appos]	1.0
sunitinib	p-gp	[prep_of, effects, dobj, analyzed, prep_on]	1.0
adomet	beta2	[nsubj, binds, prep_to]	1.0
rapamycin	factor-1	[nsubj, inhibited, prep_by]	1.0
rapamycin	factor-1	[prep_of, target, appos]	1.0
rapamycin	factor-1	[prep_on, expression, prep_of, mtor, appos, factor, amod, alpha, dep]	1.0
hpth	osmr	[prep_with, treated, nsubjpass, mice, nn]	1.0
doxorubicin	ralbp1	[prep_of, transporter, nsubj]	1.0
estradiol	pcna	[nsubj, enhances, dobj, expression, nn]	1.0
collagenase	gp250	[prep_with, digestion, xsubj]	1.0
chlorotrianisene	cyclooxygenase-1	[prep_of, effect, nsubjpass, mediated, prep_through, inhibition, prep_of]	1.0
gp120	e2f1	[nsubj, increased, dobj, levels, num]	1.0
dhea	txnip	[nsubj, acted, advcl, inhibited, dobj]	1.0
il-1ra	cxcr2	[dep, inhibitor, prep_of]	1.0
imatinib	gm-csf	[amod, factor, appos]	1.0
hydroxyurea	excision-repair	[xsubj, inhibit, dobj]	1.0
corticosteroids	impa	[prep_for, treatment, prep_of]	1.0
aldosterone	aquaporin-2	[prep_on, regulation, amod]	1.0
rapamycin	cd34	[prep_with, cells, nn]	1.0
chloramphenicol	cltb	[prep_of, clearance, appos]	1.0
imidapril	mmp-9	[nsubj, inhibits, dobj]	1.0
prostacyclin	heparan	[nn, sulfate, dep]	1.0
vasopressin	gastrin	[appos, hormone, nn]	1.0
pirenzepine	gastrin	[xsubj, inhibit, dobj, secretion, nn]	1.0
pirenzepine	gastrin	[nsubj, decreased, dobj, concentrations, nn]	1.0
pirenzepine	gastrin	[prep_of, effect, prep_on]	1.0
pirenzepine	gastrin	[prep_with, treated, advcl, determined, nsubjpass, levels, nn]	1.0
clonidine	ghrh	[amod, hormone, appos]	1.0
clonidine	ghrh	[prep_to, responses, appos]	1.0
clonidine	ghrh	[amod, hormone, appos, hormone, appos]	1.0
clonidine	ghrh	[amod, stimulation, appos]	1.0
collagenase	vegf	[dobj, factor, appos]	1.0
collagenase	vegf	[amod, activity, prep_of, release, prep_on, examined, dobj, influence, prep_of, factor, appos]	1.0
rapamycin	cd40	[prep_of, presence, prep_in]	1.0
rapamycin	ap-1	[prep_with, treatment, nsubj, affect, dobj, activity, nn]	1.0
carboplatin	mtor	[nsubj, inhibited, dobj, activation, prep_of]	1.0
nadh	dhpr	[dobj, uses, nsubj]	1.0
nadh	dhpr	[dobj, using, nsubj]	1.0
desipramine	mcp-1	[nsubj, caused, dobj, increase, prep_of]	1.0
formoterol	calreticulin	[agent, increased, nsubjpass, expression, prep_of]	1.0
sulindac	bcl2	[amod, apoptosis, prep_to, resistant, nsubj, thymocytes, amod]	1.0
doxorubicin	ryr2	[nn, site, prep_on]	1.0
il-2	lectin	[nn, production, dobj, induced, nsubj]	1.0
il-2	lectin	[prep_of, expression, prep_with]	1.0
genistein	tgf-alpha	[nsubj, blocks, prep_by]	1.0
genistein	tgf-alpha	[nsubj, reduced, dobj, effect, prep_of]	1.0
hydrocortisone	endothelin-1	[nsubj, increased, dobj, levels, amod]	1.0
hydrocortisone	endothelin-1	[amod, treatment, nsubj, resulted, advcl, demonstrated, prep_to]	1.0
cysteamine	agas	[prep_of, determination, prep_for, method, amod]	1.0
vincristine	sek1	[xsubj, mutant, prep_of]	1.0
tamoxifen	inos	[nsubj, inhibited, prep_on]	1.0
tamoxifen	inos	[nsubj, inhibited, parataxis]	1.0
haloperidol	lpa2	[prep_of, effects, nn]	1.0
staurosporine	blimp1	[agent, inhibited, nsubjpass, induction, prep_of]	1.0
theophylline	beta2	[appos, agonists, amod]	1.0
11beta	hsd-1	[num, expression, nn]	1.0
11beta	hsd-1	[amod, mrna, nn]	1.0
11beta	hsd-1	[amod, dehydrogenase, appos]	1.0
11beta	hsd-1	[amod, activity, nn]	1.0
nitroprusside	ho-1	[nsubj, inducers, prep_of]	1.0
nitroprusside	ho-1	[prep_of, effect, dobj, examined, prep_on, expression, appos]	1.0
nitroprusside	ho-1	[dobj, mrna, nn]	1.0
nitroprusside	ho-1	[nn, expression, nn]	1.0
nitroprusside	ho-1	[nsubj, increased, dobj, expression, nn]	1.0
pivampicillin	ssps	[dep, amoxicillin, appos, penicillins, appos]	1.0
minocycline	5-lox	[nsubj, inhibited, dobj, expression, amod]	1.0
flunitrazepam	gamma-2	[prep_with, obtained, partmod, that, prep_from, different, advcl, consistent, prep_in, receptors, partmod, composed, prep_of, subunits, amod]	1.0
su11248	pdgfr	[nsubj, inhibitor, prep_of]	1.0
hydralazine	agas	[prep_of, determination, prep_for, described, nsubjpass, method, amod]	1.0
cisplatin	erbb2	[nsubj, induced, dobj, expression, nn]	1.0
fluorescein	pac1	[nn, isothiocyanate, dep]	1.0
minocycline	aqp4	[amod, treatment, nsubj, decreased, dobj]	1.0
debrisoquine	cyp1a2	[dep, chlorzoxazone, dobj, using, xcomp, determined, nsubjpass, activities, prep_of]	1.0
sunitinib	caspase-3	[nn, treatment, nsubj, resulted, prep_in, activation, prep_of]	1.0
ganciclovir	gfap	[prep_with, treated, partmod, mice, nn]	1.0
fluoroquinolones	cyp1a2	[rcmod, inhibitor, nn]	1.0
fluoroquinolones	cyp1a2	[nsubj, inhibit, dobj]	1.0
fluoroquinolones	cyp1a2	[prep_to, site, amod]	1.0
propranolol	lcat	[amod, inhibition, prep_of, activity, amod]	1.0
propranolol	lcat	[nsubj, inhibited, dobj]	1.0
propranolol	lcat	[amod, effect, prep_on, activity, amod]	1.0
cisplatin	hsp60	[nn, resistance, prep_with, associated, nsubjpass, expression, nn]	1.0
bepridil	herg	[appos, antagonist, amod]	1.0
bepridil	herg	[agent, blocked, nsubjpass]	1.0
gm-csf	pi3-kinase	[agent, induced, partmod]	1.0
gm-csf	pi3-kinase	[number, activate, num]	1.0
gm-csf	pi3-kinase	[amod, activation, nn]	1.0
cisplatin	saci	[nn, therapy, appos]	1.0
forskolin	rar-beta	[nsubj, decreased, dobj, levels, amod]	1.0
oxytocin	oxytocinase	[dobj, inactivates, nsubj]	1.0
gentamicin	reca	[amod, cassette, dobj, inserting, prep_into, gene, nn]	1.0
phenylephrine	kininogen	[prep_of, influence, prep_on, level, nn]	1.0
ara-c	hdac	[appos, cytarabine, appos]	1.0
ara-c	hdac	[prep_with, treated, partmod, those, pobj, treated, prep_with]	1.0
ara-c	hdac	[dep, mitoxantrone, appos, course, nsubj, stem, ccomp, received, prep_after]	1.0
simvastatin	claudin-3	[agent, modulated, nsubjpass, expression, prep_of]	1.0
l-leucine	rps6	[prep_of, omission, nsubj, reduced, dep, target, prep_of, rapamycin, dep]	1.0
cyproterone	aromatase	[amod, acetate, prep_with, mas, prep_in, treatment, appos, inhibitor, amod]	1.0
bezafibrate	cpt2	[nsubj, increased, dobj, activity, nn]	1.0
rofecoxib	pcna	[amod, therapy, prep_after, decreased, nsubj, expression, nn]	1.0
quinidine	cyp3a4	[agent, elicited, partmod]	1.0
quinidine	cyp3a4	[appos, inhibitor, nn]	1.0
quinidine	cyp3a4	[dep, inhibitors, num]	1.0
thiotepa	cyp3a4	[nsubjpass, metabolized, agent]	1.0
fulvestrant	pi3k	[agent, reversed, nsubjpass, inhibition, amod]	1.0
alendronate	osteocalcin	[amod, treatment, nsubj, decreased, dobj]	1.0
alendronate	osteocalcin	[nsubj, caused, dobj, increase, prep_in]	1.0
curcumin	hmgb1	[nsubj, inhibited, dobj, release, prep_of]	1.0
clopidogrel	cyp2b6	[amod, inactivates, nsubj]	1.0
clopidogrel	cyp2b6	[amod, sertraline, amod, effect, prep_of, inhibitors, prep_of]	1.0
clopidogrel	cyp2b6	[nsubj, inhibitor, prep_of]	1.0
clopidogrel	cyp2b6	[nsubj, inhibited, dobj]	1.0
losartan	cyp2c19	[nsubj, has, dobj, affinity, prep_for]	1.0
17-beta	hsd17b2	[amod, type, appos]	1.0
l-dopa	creb	[prep_for, required, nsubjpass]	1.0
sulphanilamide	dhps	[amod, pneumoniae, appos]	1.0
rapamycin	cd86	[nsubj, regulated, dobj]	1.0
fenofibrate	npc1l1	[nsubj, modulate, dobj, expression, amod]	1.0
simvastatin	egfr	[nsubj, suppressed, dobj, phosphorylation, prep_of]	1.0
cisapride	iddm	[amod, patients, appos]	1.0
forskolin	rap1a	[nsubj, activated, dobj]	1.0
forskolin	rap1a	[nsubj, activates, dobj]	1.0
methimazole	nadph	[prep_of, oxidation, amod]	1.0
thyrotropin	tshb	[nn, expression, appos]	1.0
thyrotropin	tshb	[amod, subunit, appos]	1.0
meloxicam	cyp2c9	[prep_of, clearance, nsubj, lower, prep_in]	1.0
ndga	pi3k	[prep_by, responsible, nsubj]	1.0
celecoxib	bcl-2	[prep_of, effect, dobj, examined, prep_on, expression, prep_of]	1.0
celecoxib	bcl-2	[xsubj, downregulate, dobj, expression, nn]	1.0
resveratrol	egfr	[nsubj, increased, dobj, activity, amod]	1.0
geldanamycin	pdk1	[agent, induced, partmod]	1.0
clopidogrel	cyp2c9	[nsubjpass, metabolized, agent]	1.0
clopidogrel	cyp2c9	[nsubj, inhibited, dobj]	1.0
lindane	cyp19	[nsubj, had, dobj, effects, prep_on, levels, amod]	1.0
pitavastatin	l-fabp	[nsubj, affects, dobj, levels, amod]	1.0
troglitazone	jab1	[nsubj, suppressed, dobj, activity, amod]	1.0
troglitazone	jab1	[amod, expression, amod]	1.0
lansoprazole	icam-1	[nsubj, inhibits, prepc_by, reducing, dobj]	1.0
thyrotropin	tshr	[prep_of, activity, appos]	1.0
thyrotropin	tshr	[prep_to, binding, amod, receptor, appos]	1.0
thyrotropin	tshr	[amod, gene, appos]	1.0
thyrotropin	tshr	[nn, antibodies, appos]	1.0
thyrotropin	tshr	[nn, receptor, prep_to, autoantibodies, appos]	1.0
thyrotropin	tshr	[amod, expression, appos]	1.0
thyrotropin	tshr	[nn, receptor, appos]	1.0
thyrotropin	tshr	[amod, receptors, appos]	1.0
thyrotropin	tshr	[nn, mrna, appos]	1.0
thyrotropin	tshr	[amod, receptor, appos]	1.0
thyrotropin	tshr	[amod, antibodies, nn]	1.0
thyrotropin	tshr	[amod, mrna, appos]	1.0
thyrotropin	tshr	[nn, receptor, prep_of, expression, appos]	1.0
thyrotropin	tshr	[dep, receptor, dep]	1.0
thyrotropin	tshr	[amod, mutations, appos]	1.0
thyrotropin	tshr	[prep_of, binding, amod, receptor, appos]	1.0
thyrotropin	tshr	[nn, antibodies, nn]	1.0
thyrotropin	tshr	[nn, gene, appos]	1.0
thyrotropin	tshr	[prep_via, receptor, appos]	1.0
thyrotropin	tshr	[nn, receptors, appos]	1.0
indomethacin	il-1	[prep_by, unaffected, parataxis, inhibited, dobj, production, amod]	1.0
indomethacin	il-1	[nsubj, enhanced, dobj]	1.0
indomethacin	il-1	[prep_by, synthesis, nn]	1.0
indomethacin	il-1	[agent, inhibited, nsubjpass, effect, prep_of]	1.0
indomethacin	il-1	[prep_by, blocked, nsubj, effect, prep_of]	1.0
indomethacin	il-1	[nsubj, reduced, dobj, synthesis, amod]	1.0
indomethacin	il-1	[xsubj, modulate, dobj, release, prep_of]	1.0
indomethacin	il-1	[nsubj, blocked, prep_to]	1.0
indomethacin	il-1	[nsubj, reverses, dobj, effect, prep_of]	1.0
indomethacin	il-1	[nn, activity, nn]	1.0
indomethacin	il-1	[nsubj, had, dobj, effect, prep_on, production, prep_of]	1.0
indomethacin	il-1	[nsubj, blocked, dobj, effect, prep_of]	1.0
indomethacin	il-1	[prep_by, synthesis, prep_of, inhibition, nsubj, prolongs, dobj, expression, nn]	1.0
indomethacin	il-1	[amod, activity, nn]	1.0
indomethacin	il-1	[agent, blocked, nsubjpass, effect, prep_of]	1.0
indomethacin	il-1	[nsubj, inhibited, dobj]	1.0
indomethacin	il-1	[nsubj, reduced, iobj]	1.0
indomethacin	il-1	[nsubj, prevented, prep_to]	1.0
indomethacin	il-1	[agent, inhibited, nsubjpass, effects, prep_of]	1.0
estradiol	osteocalcin	[appos, testosterone, appos]	1.0
estradiol	osteocalcin	[dep, i, appos]	1.0
estradiol	osteocalcin	[amod, expression, nn]	1.0
tamoxifen	endothelin-1	[prep_of, effects, dobj, studied, prep_on, production, prep_of]	1.0
cilostazol	bcl-2	[nsubj, increased, dobj, number, prep_of]	1.0
irinotecan	cox-2	[appos, inhibitor, amod]	1.0
vinblastine	cyp3a4	[xsubj, induce, dobj]	1.0
vinblastine	cyp3a4	[nsubj, induced, dobj, protein, amod]	1.0
neomycin	bcl-xl	[nn, gene, amod]	1.0
neomycin	bcl-xl	[nn, gene, appos]	1.0
atorvastatin	mmp-9	[nsubj, inhibited, dobj, release, nn]	1.0
carprofen	cox-2	[nsubj, selective, prep_for]	1.0
carprofen	cox-2	[appos, inhibitor, nn]	1.0
atorvastatin	mmp-2	[nsubj, inhibits, dobj]	1.0
bupivacaine	ml-1	[prep, plus, dep]	1.0
bupivacaine	ml-1	[amod, mg, amod]	1.0
bupivacaine	ml-1	[amod, micrograms, amod]	1.0
bupivacaine	ml-1	[prep_of, concentrations, nsubj]	1.0
estradiol	cadherin	[xsubj, stimulate, dobj, expression, prep_of]	1.0
cisplatin	hsp72	[nn, treatment, prep_after]	1.0
hydroquinone	rad6b	[prep_of, effects, dobj, study, prep_on, expression, prep_of]	1.0
pitavastatin	phospholipase	[nsubj, reduced, dobj, activities, amod]	1.0
pioglitazone	pi3k	[dobj, activity, amod]	1.0
lovastatin	butyrylcholinesterase	[nsubj, inhibited, dobj]	1.0
cromolyn	il-5	[dep, levels, nn]	1.0
troglitazone	pedf	[agent, reduced, nsubjpass, secretion, nn]	1.0
celecoxib	bcl-x	[appos, antagonist, nn]	1.0
simvastatin	ldlr	[appos, drug, partmod, known, prep_to]	1.0
dexamethasone	e-cadherin	[prep_on, regulation, prep_of]	1.0
dexamethasone	e-cadherin	[prep_on, expression, amod]	1.0
dexamethasone	e-cadherin	[amod, expression, prep_of]	1.0
curcumin	abcg2	[nsubj, inhibited, dobj, activity, amod]	1.0
menadione	mnsod	[xsubj, levels, nn]	1.0
l-leucine	gcap	[prep_by, inhibited, nsubj]	1.0
pge2	mmp-13	[prep_of, effect, dobj, mimicked, prep_on, mrna, amod]	1.0
pge2	mmp-13	[nsubj, reduced, dobj, mrna, nn]	1.0
hesperidin	icam-1	[partmod, reduced, dobj, expression, nn]	1.0
vorinostat	bcl-xl	[nsubj, reduced, dobj, expression, prep_of]	1.0
urokinase	timp-3	[amod, pa, appos]	1.0
perifosine	trail-r2	[xsubj, increase, dobj, expression, nn]	1.0
il-2	gab2	[amod, phosphorylation, prep_of]	1.0
g-csf	eotaxin	[appos, rantes, appos]	1.0
g-csf	eotaxin	[appos, fasl, appos]	1.0
aprepitant	ccr5	[nsubj, downregulates, dobj, expression, amod]	1.0
aprepitant	ccr5	[nsubj, inhibited, dobj, expression, amod]	1.0
curcumin	bcl-xl	[prep_of, effect, dobj, indicating, xcomp, reduced, nsubjpass, expression, prep_of, cyclin, amod]	1.0
curcumin	bcl-xl	[nsubj, regulated, dobj, expression, prep_of, proteins, amod]	1.0
flunisolide	mmp-9	[nsubj, reduced, dobj]	1.0
enalapril	alk-5	[nsubj, decreased, dobj, expression, nn]	1.0
guanidine	groel	[amod, hydrochloride, prep_in]	1.0
phosphatidylserine	bai1	[amod, receptor, nsubj]	1.0
dexamethasone	dio1	[nsubj, had, dobj, effect, prep_on, mrna, amod]	1.0
haloperidol	drd2	[nsubj, increased, dobj, mrna, amod]	1.0
cisplatin	hsp90	[nn, resistance, prep_for, responsible, nsubj]	1.0
cisplatin	hsp90	[prep_by, induction, prep_of]	1.0
cisplatin	hsp90	[prep_to, associated, nsubjpass]	1.0
cisplatin	hsp90	[nsubj, decreases, dobj, activity, prep_of]	1.0
staurosporine	ho-1	[agent, blocked, nsubjpass, expression, nn]	1.0
n-acetylcysteine	mt-1	[nsubj, inhibited, prep_in, mrna, nn]	1.0
prazosin	il-10	[nsubj, increased, dobj, levels, prep_of]	1.0
cyclophosphamide	il-1	[prep_of, dose, agent, followed, partmod]	1.0
cyclophosphamide	il-1	[agent, inhibited, ccomp]	1.0
cyclophosphamide	il-1	[prep_with, administered, nsubjpass]	1.0
verapamil	demethylase	[amod, activity, nn]	1.0
citalopram	cyp3a4	[prep_with, administered, nsubjpass, inhibitors, nn]	1.0
daunorubicin	cd38	[prep_to, sensitivity, prep_in, comparison, prep_with, counterpart, nn]	1.0
collagenase	chondroitinase	[dep, tpa, dep]	1.0
collagenase	chondroitinase	[partmod, followed, agent, abc, amod]	1.0
collagenase	chondroitinase	[amod, subtilisin, amod, carlsberg, amod]	1.0
daunorubicin	cd34	[nn, accumulation, prep_in, cells, nn]	1.0
daunorubicin	cd34	[prep_to, sensitivity, prep_in, comparison, prep_with, counterpart, nn]	1.0
rapamycin	osteocalcin	[nsubj, reduced, iobj]	1.0
staurosporine	drp1	[prep_to, response, prep_in]	1.0
fluphenazine	calmodulin	[prep_such_as, antagonists, nn]	1.0
fluphenazine	calmodulin	[appos, inhibitor, nn]	1.0
fluphenazine	calmodulin	[xcomp, insensitive, xsubj]	1.0
fluphenazine	calmodulin	[appos, antagonist, nn]	1.0
apap	p-gp	[nsubj, increased, dobj, expression, prep_of]	1.0
cilostazol	sca-1	[nsubj, increased, dobj]	1.0
daunorubicin	cbr1	[prep_for, activity, amod]	1.0
genistein	sharp-2	[nsubj, induce, dobj]	1.0
dronedarone	herg	[nsubj, antagonist, prep_of, channels, nn]	1.0
dronedarone	herg	[nsubj, blocked, xcomp]	1.0
docetaxel	skp2	[xsubj, expression, prep_of]	1.0
forskolin	ml-1	[dep, micrograms, amod]	1.0
sulindac	ppargamma	[amod, activator, amod]	1.0
lidocaine	acyltransferase	[agent, stimulated, nsubjpass]	1.0
atra	aldh1	[prep_via, activity, amod]	1.0
atra	aldh1	[prep_to, catalyzes, nsubj, dehydrogenase, appos]	1.0
imatinib	cas-l	[prep_to, sensitized, nsubj, depletion, nn]	1.0
cyclophosphamide	aldh1a1	[dobj, inactivates, nsubj]	1.0
quinidine	gp170	[dep, blockers, appos, drugs, prep_of, existence, amod, able, dep, bind, prep_to]	1.0
terfenadine	cyp3a	[xcomp, inhibit, dobj]	1.0
terfenadine	cyp3a	[prep_such_as, substrates, num]	1.0
terfenadine	cyp3a	[appos, alphanf, dep, substrates, nn]	1.0
colchicine	cables	[nsubj, induced, dobj]	1.0
lidocaine	hmgb1	[nsubj, affects, dobj]	1.0
lidocaine	hmgb1	[nsubj, suppressed, dobj, translocation, prep_of]	1.0
l-dopa	apoferritin	[prep_of, oxidation, prep_by]	1.0
ranitidine	butyrylcholinesterase	[nsubj, inhibitor, prep_of]	1.0
forskolin	tsp1	[dobj, inhibited, nsubj]	1.0
methylprednisolone	ctcl	[dep, etoposide, appos, eshap, prep_of, efficacy, dobj, assess, prep_with]	1.0
thyroxine	reticulum	[amod, administration, prep_following]	1.0
hyaluronidase	pi-plc	[nsubjpass, released, agent]	1.0
cyclosporine	gp170	[dep, blockers, appos, drugs, prep_of, existence, amod, able, dep, bind, prep_to]	1.0
bortezomib	b-raf	[prep_in, cells, amod]	1.0
imatinib	ifn-gamma	[nsubj, inhibits, dobj, secretion, amod]	1.0
prednisolone	gcap	[pobj, with, pcomp, combined, prep]	1.0
rapamycin	bcl-2	[nsubj, affect, dobj, mrna, amod]	1.0
rapamycin	bcl-2	[agent, inhibited, nsubjpass, phosphorylation, nn]	1.0
bleocin	caf-1	[agent, induced, nsubjpass, expression, prep_of]	1.0
sildenafil	mkp-1	[amod, expression, nn]	1.0
propranolol	cholinesterase	[prep_of, effect, nsubjpass, investigated, prep_on, activity, amod]	1.0
propranolol	cholinesterase	[nsubj, inhibited, dobj, activity, nn]	1.0
propranolol	cholinesterase	[nsubj, inhibited, dobj]	1.0
troglitazone	caspase-3	[amod, treatment, agent, activated, nsubjpass]	1.0
fluvastatin	inos	[nsubj, increased, iobj]	1.0
lenalidomide	cd154	[nsubj, promotes, dobj, expression, amod]	1.0
diclofenac	atf6	[nsubj, reduces, dobj, expression, prep_of]	1.0
carbachol	egfr	[nsubj, transactivates, dobj]	1.0
carbachol	egfr	[nn, induced, nsubj, tyrosine, dobj, phosphorylation, prep_of]	1.0
lidocaine	ml-1	[amod, hydrochloride, amod]	1.0
lidocaine	ml-1	[amod, plasma, amod]	1.0
il-2	cdk4	[prep_to, expression, nn]	1.0
ciprofloxacin	cyp1a1	[nsubj, caused, prep_in, levels, nn]	1.0
bambuterol	cholinesterase	[nsubj, has, dobj, effect, prep_on]	1.0
bambuterol	cholinesterase	[amod, activity, amod]	1.0
bambuterol	cholinesterase	[prep_in, subjects, prep_with]	1.0
atra	tgfbeta	[prep_of, effect, dobj, mediates, nsubj]	1.0
